Capture_Ch1_28072015_120247 Compressing video. Total time = 0:14:21, fps = 12.3; Frame 10500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:14:24, fps = 12.3; Frame 10500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:14:34, fps = 12.0; Frame 10500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:14:35, fps = 12.1; Frame 10500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:14:36, fps = 12.1; Frame 10500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:14:43, fps = 12.0; Frame 10500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:15:02, fps = 12.3; Frame 11000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:15:05, fps = 12.1; Frame 11000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:15:15, fps = 12.0; Frame 11000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:15:16, fps = 12.3; Frame 11000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:15:17, fps = 12.1; Frame 11000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:15:26, fps = 11.7; Frame 11000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:15:42, fps = 12.3; Frame 11500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:15:47, fps = 12.1; Frame 11500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:15:57, fps = 12.1; Frame 11500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:15:57, fps = 12.1; Frame 11500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:15:59, fps = 12.0; Frame 11500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:16:08, fps = 11.9; Frame 11500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:16:23, fps = 12.3; Frame 12000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:16:28, fps = 12.3; Frame 12000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:16:38, fps = 12.1; Frame 12000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:16:38, fps = 12.2; Frame 12000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:16:40, fps = 12.2; Frame 12000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:16:50, fps = 12.1; Frame 12000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:17:04, fps = 12.3; Frame 12500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:17:08, fps = 12.4; Frame 12500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:17:20, fps = 12.1; Frame 12500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:17:20, fps = 12.1; Frame 12500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:17:22, fps = 12.1; Frame 12500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:17:32, fps = 11.8; Frame 12500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:17:44, fps = 12.3; Frame 13000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:17:50, fps = 12.1; Frame 13000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:18:01, fps = 12.2; Frame 13000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:18:02, fps = 12.0; Frame 13000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:18:03, fps = 12.1; Frame 13000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:18:15, fps = 11.8; Frame 13000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:18:25, fps = 12.3; Frame 13500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:18:31, fps = 12.2; Frame 13500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:18:42, fps = 12.1; Frame 13500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:18:44, fps = 12.0; Frame 13500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:18:44, fps = 12.1; Frame 13500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:18:57, fps = 11.8; Frame 13500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:19:06, fps = 12.1; Frame 14000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:19:12, fps = 12.2; Frame 14000 
